,Unnamed: 0,nama,brand,harga,terjual,gambar
180,180,"Apple MacBook Pro 14"" 2021 M1 Pro 1TB 16GB RAM Space Gray - Excellent",Excellent - Refurbished,1323333375,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
181,181,New ListingLot of 5 Mixed HP Envy/Elitebook i5/i7 7th Gen 8/16GB RAM 256/No SSD No OS,Pre-Owned,764666875,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
182,182,"2020 MacBook Pro A2338 13"" M1 8-Core CPU 3.2GHz 8-Core GPU 16GB RAM 256GB SSD",Good - Refurbished,748108375,39,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
183,183,Apple MacBook Pro A2485 M1 Pro Chip 32GB/1TB - Cosmetic (Read Description),Pre-Owned,1321670875,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
184,184,Dell Latitude 5330 13.3” Business Laptop Core i5 16GB RAM 128GB SSD Windows 11,Good - Refurbished,398102250,366,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
185,185,Dell Latitude 14” Full HD Laptop PC Core i7 4.9GHz 16GB RAM 512GB SSD Windows 11,Good - Refurbished,475890625,3,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
188,188,Dell Latitude 7410 Business Laptop 14” Core i5 16GB RAM 512GB SSD Windows 11 Pro,Good - Refurbished,400629250,353,https://i.ebayimg.com/thumbs/images/g/tqQAAeSwc3VpAvIu/s-l960.webp
189,189,Apple MacBook Air 13 inch Laptop - Intel Core i7 - 8GB RAM - 256GB SSD - BUNDLE,Pre-Owned,423937500,0,https://i.ebayimg.com/thumbs/images/g/~xYAAeSwHtppLdHW/s-l960.webp
190,190,"HP ELITEBOOK 840 G6 14"" Intel Core i5-8365U 1.60GHz 16GB RAM 256GB NVMe",Pre-Owned,249358375,1,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
191,191,DELL Latitude Touchscreen Laptop: Intel i7 32GB RAM ~ 512GB SSD! Windows 11 Pro!,Pre-Owned,606812500,23,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
192,192,"New ListingApple MacBook Pro A2141 16"" i9-9880H 16 GB RAM 1 TB SSD 5500M Sequoia 97 Cycles",Pre-Owned,548608375,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
